number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_kernel,params_mask_number,params_rsi_window,params_so_smooth,params_so_window,params_srsi_smooth1,params_srsi_smooth2,params_srsi_window,params_tsi_window_fast,params_tsi_window_slow,params_ult_weight_1,params_ult_weight_2,params_ult_weight_3,params_ult_window_1,params_ult_window_2,params_ult_window_3,params_williams_lbp,state
0,0.18971881693478557,2024-04-11 16:02:32.353295,2024-04-11 16:02:32.922156,0 days 00:00:00.568861,82.08880832303043,7.384494584448869,rbf,15,,45.0,30.0,,,,8.0,42.0,6.36426737435607,7.946544455736712,3.689006108025188,17.0,41.0,75.0,79.0,COMPLETE
1,0.43072448439978844,2024-04-11 16:02:32.923192,2024-04-11 16:02:33.642955,0 days 00:00:00.719763,47.542216195722546,1.238401554567616,rbf,21,,,,6.0,1.0,58.0,39.0,36.0,,,,,,,67.0,COMPLETE
2,0.546753674263695,2024-04-11 16:02:33.644041,2024-04-11 16:02:33.857602,0 days 00:00:00.213561,29.97924662415354,0.2663083580086719,sigmoid,14,,39.0,25.0,,,,36.0,35.0,2.396328348911873,9.907882867368853,8.767583825926753,15.0,39.0,55.0,,COMPLETE
3,0.49506220651595106,2024-04-11 16:02:33.858595,2024-04-11 16:02:34.060271,0 days 00:00:00.201676,29.610933021084094,9.225365921841242,sigmoid,22,,,,1.0,8.0,97.0,17.0,18.0,8.931814980844065,6.065950844637754,9.424623539345756,2.0,26.0,51.0,,COMPLETE
4,0.25595807511541824,2024-04-11 16:02:34.061272,2024-04-11 16:02:34.592654,0 days 00:00:00.531382,14.359663792602957,7.2761484915924735,rbf,14,,11.0,11.0,,,,45.0,40.0,2.309741546573612,7.092400886232894,5.919989924551576,2.0,39.0,83.0,,COMPLETE
5,0.40816038899263596,2024-04-11 16:02:34.594654,2024-04-11 16:02:35.275187,0 days 00:00:00.680533,56.177297993613465,5.704407893869801,rbf,18,,,,5.0,6.0,13.0,,,3.057974689546472,4.765234304909889,4.0782312642950584,8.0,44.0,91.0,,COMPLETE
6,0.5867954807022094,2024-04-11 16:02:35.277159,2024-04-11 16:02:35.629618,0 days 00:00:00.352459,97.80515173903052,0.45726147892020996,sigmoid,16,,,,2.0,6.0,7.0,,,,,,,,,,COMPLETE
7,0.4099862123301162,2024-04-11 16:02:35.630619,2024-04-11 16:02:36.379180,0 days 00:00:00.748561,43.31405487041807,2.891991353377384,rbf,42,24.0,7.0,32.0,,,,,,6.300922637239266,8.591037156934982,7.695611948886833,19.0,49.0,94.0,,COMPLETE
8,0.4171174343052845,2024-04-11 16:02:36.380179,2024-04-11 16:02:36.978524,0 days 00:00:00.598345,19.78727244165214,3.76530645801936,rbf,42,26.0,50.0,31.0,,,,,,2.9487344739857178,3.212660659800496,6.684383979602798,19.0,39.0,83.0,,COMPLETE
9,0.40960919140047,2024-04-11 16:02:36.979523,2024-04-11 16:02:37.226861,0 days 00:00:00.247338,96.02136719112974,0.49995549189519456,sigmoid,28,,23.0,31.0,7.0,1.0,29.0,22.0,6.0,,,,,,,,COMPLETE
10,0.5310022201078337,2024-04-11 16:02:37.226861,2024-04-11 16:02:37.558032,0 days 00:00:00.331171,71.1880124574153,2.3672209352798363,sigmoid,8,,27.0,50.0,,,,,,,,,,,,,COMPLETE
11,0.2210812033476589,2024-04-11 16:02:37.559069,2024-04-11 16:02:37.956737,0 days 00:00:00.397668,0.1523527817102277,0.2376312811811347,sigmoid,14,,36.0,11.0,,,,35.0,26.0,0.747781200630899,0.5030673709162201,0.5246201846181204,13.0,28.0,51.0,,COMPLETE
12,0.5409353032790336,2024-04-11 16:02:37.957739,2024-04-11 16:02:38.214517,0 days 00:00:00.256778,65.5739232013353,1.9797458821525105,sigmoid,9,,38.0,45.0,,,,,,,,,,,,189.0,COMPLETE
13,0.4731105055336189,2024-04-11 16:02:38.215634,2024-04-11 16:02:38.511987,0 days 00:00:00.296353,99.03096388157628,4.356154101359015,sigmoid,16,,,,1.0,5.0,2.0,,,,,,,,,,COMPLETE
14,0.576813843664344,2024-04-11 16:02:38.512980,2024-04-11 16:02:38.884458,0 days 00:00:00.371478,33.037320034483464,0.05493780736532744,sigmoid,30,,23.0,3.0,3.0,8.0,49.0,31.0,50.0,4.5913129776712855,9.740865350673735,9.743154903689124,12.0,20.0,64.0,,COMPLETE
15,0.47969408617077663,2024-04-11 16:02:38.885456,2024-04-11 16:02:39.345483,0 days 00:00:00.460027,81.2567921169655,1.6330113619466267,sigmoid,30,,18.0,2.0,3.0,8.0,55.0,27.0,18.0,8.308670890431097,9.906956349159682,1.4355643870650905,9.0,20.0,66.0,,COMPLETE
16,0.4315583542214342,2024-04-11 16:02:39.346492,2024-04-11 16:02:39.708911,0 days 00:00:00.362419,39.047187752502964,3.511640407437068,sigmoid,30,,2.0,2.0,3.0,6.0,81.0,5.0,50.0,4.777415949831278,3.809915842860536,9.857321632651665,6.0,30.0,66.0,,COMPLETE
17,0.5664599940950694,2024-04-11 16:02:39.709910,2024-04-11 16:02:40.004930,0 days 00:00:00.295020,58.671234769688944,5.154480964866187,sigmoid,16,,,,3.0,7.0,34.0,,,,,,,,,,COMPLETE
18,0.4475995565788351,2024-04-11 16:02:40.004930,2024-04-11 16:02:40.450315,0 days 00:00:00.445385,87.09091082361219,1.1075255322255622,sigmoid,63,48.0,29.0,13.0,2.0,3.0,31.0,49.0,50.0,4.786099127732752,2.596897644408384,7.675153014706448,11.0,20.0,64.0,17.0,COMPLETE
19,0.5024864812668984,2024-04-11 16:02:40.451315,2024-04-11 16:02:40.800813,0 days 00:00:00.349498,0.31665407844789684,2.785619907626387,sigmoid,46,3.0,17.0,20.0,,,,25.0,5.0,7.184532441760396,6.055177054023049,4.172442302909623,13.0,33.0,75.0,,COMPLETE
20,0.4969872626039204,2024-04-11 16:02:40.801859,2024-04-11 16:02:41.084264,0 days 00:00:00.282405,33.081244999599846,6.366689919310532,sigmoid,11,,31.0,40.0,,,,,,9.98865095798358,1.5567872216850271,2.556100777636807,5.0,25.0,100.0,178.0,COMPLETE
21,0.5658152464238371,2024-04-11 16:02:41.085266,2024-04-11 16:02:41.378379,0 days 00:00:00.293113,56.27318275172845,5.2746751357457615,sigmoid,16,,,,3.0,7.0,36.0,,,,,,,,,,COMPLETE
22,0.27107872900222624,2024-04-11 16:02:41.378379,2024-04-11 16:02:41.691336,0 days 00:00:00.312957,68.19149780068348,4.518014054385415,sigmoid,10,,19.0,18.0,,,,,,4.345665686729054,8.080530117739242,5.501754769564635,16.0,35.0,63.0,,COMPLETE
23,0.4793810840322468,2024-04-11 16:02:41.691336,2024-04-11 16:02:42.016601,0 days 00:00:00.325265,20.045495895178263,9.656020477143466,sigmoid,26,,10.0,7.0,4.0,7.0,43.0,,,0.7051185252109589,4.680691186907525,8.280625691428451,10.0,23.0,57.0,,COMPLETE
24,0.46239253254728574,2024-04-11 16:02:42.017616,2024-04-11 16:02:42.268440,0 days 00:00:00.250824,58.159881608112094,6.154238983357506,sigmoid,16,,,,2.0,7.0,17.0,,,,,,,,,,COMPLETE
25,0.4913112965828661,2024-04-11 16:02:42.269439,2024-04-11 16:02:42.711460,0 days 00:00:00.442021,88.38714209914477,7.619718797676745,sigmoid,62,46.0,23.0,39.0,4.0,5.0,64.0,13.0,24.0,3.797616226210007,6.7954031128823456,6.001795364921719,13.0,31.0,71.0,,COMPLETE
26,0.4901748380527331,2024-04-11 16:02:42.712581,2024-04-11 16:02:43.182573,0 days 00:00:00.469992,76.84399859427302,0.8389557167609181,sigmoid,37,3.0,,,,,,30.0,32.0,,,,,,,138.0,COMPLETE
27,0.36332006289518587,2024-04-11 16:02:43.183772,2024-04-11 16:02:43.490572,0 days 00:00:00.306800,11.092799964938457,8.54283289127776,sigmoid,41,16.0,33.0,20.0,,,,,,,,,,,,10.0,COMPLETE
28,0.0,2024-04-11 16:02:43.491620,2024-04-11 16:02:43.963536,0 days 00:00:00.471916,36.36757440748454,0.010832604669902324,sigmoid,20,,,,2.0,8.0,15.0,42.0,44.0,,,,,,,,COMPLETE
29,0.36765020312165914,2024-04-11 16:02:43.965070,2024-04-11 16:02:44.850874,0 days 00:00:00.885804,49.11683558668817,3.7319203866273876,rbf,52,38.0,,,3.0,6.0,45.0,18.0,13.0,,,,,,,,COMPLETE
30,0.3718134366054891,2024-04-11 16:02:44.850874,2024-04-11 16:02:45.146476,0 days 00:00:00.295602,61.547236313680784,4.779352861203181,sigmoid,60,37.0,14.0,25.0,5.0,4.0,2.0,31.0,32.0,,,,,,,,COMPLETE
31,0.5637734351750817,2024-04-11 16:02:45.147617,2024-04-11 16:02:45.456757,0 days 00:00:00.309140,54.90210155608605,5.517421463912066,sigmoid,16,,,,3.0,7.0,32.0,,,,,,,,,,COMPLETE
32,0.38054602232322293,2024-04-11 16:02:45.457794,2024-04-11 16:02:45.795973,0 days 00:00:00.338179,73.68379340291125,6.813320865295363,sigmoid,56,14.0,43.0,16.0,2.0,7.0,40.0,,,,,,,,,,COMPLETE
33,0.4732674253554798,2024-04-11 16:02:45.796985,2024-04-11 16:02:46.175199,0 days 00:00:00.378214,44.624136811554024,5.268243205950204,sigmoid,59,37.0,2.0,5.0,4.0,8.0,69.0,,,6.0522949100102945,8.525002694896898,6.846275458504589,7.0,46.0,81.0,135.0,COMPLETE
34,0.4441298603246509,2024-04-11 16:02:46.176192,2024-04-11 16:02:46.654073,0 days 00:00:00.477881,28.628993852092094,1.4631540112201438,sigmoid,55,15.0,,,3.0,6.0,21.0,10.0,25.0,7.394733761224108,9.180075247186892,4.80284888456094,14.0,23.0,58.0,57.0,COMPLETE
