number,value,datetime_start,datetime_complete,duration,params_C,params_aws_w1,params_aws_w2,params_gamma,params_kernel,params_kma_pow1,params_kma_pow2,params_kma_window,params_mask_number,params_ppo_wfast,params_ppo_wsign,params_ppo_wslow,params_roc_window,params_rsi_window,params_so_smooth,params_so_window,params_srsi_smooth1,params_srsi_smooth2,params_srsi_window,params_tsi_window_fast,params_tsi_window_slow,params_ult_weight_1,params_ult_weight_2,params_ult_weight_3,params_ult_window_1,params_ult_window_2,params_ult_window_3,params_williams_lbp,state
0,0.6000526223469567,2024-04-12 03:11:40.099357,2024-04-12 03:11:40.458926,0 days 00:00:00.359569,75.07390930688732,,,9.561642995840787,rbf,,,,120,,,,23.0,22.0,24.0,42.0,1.0,6.0,19.0,,,,,,,,,,COMPLETE
1,0.5395584917821463,2024-04-12 03:11:40.459984,2024-04-12 03:11:40.657071,0 days 00:00:00.197087,67.01287172794873,59.0,44.0,6.988929852520999,sigmoid,16.0,13.0,37.0,836,,,,31.0,,,,,,,35.0,14.0,,,,,,,,COMPLETE
2,0.582080912462749,2024-04-12 03:11:40.659158,2024-04-12 03:11:41.018656,0 days 00:00:00.359498,23.303454378465812,,,2.978179017548448,rbf,26.0,8.0,14.0,425,18.0,42.0,16.0,,21.0,20.0,27.0,,,,,,,,,,,,194.0,COMPLETE
3,0.5640637521146825,2024-04-12 03:11:41.020659,2024-04-12 03:11:41.462388,0 days 00:00:00.441729,35.0236363802857,18.0,77.0,1.360938131209123,rbf,15.0,42.0,15.0,939,21.0,27.0,46.0,,32.0,10.0,27.0,,,,,,4.14752882962804,1.5810414316729684,1.604117647019412,20.0,41.0,92.0,193.0,COMPLETE
4,0.5890542856592654,2024-04-12 03:11:41.465392,2024-04-12 03:11:41.622863,0 days 00:00:00.157471,43.424600922840554,16.0,10.0,7.868053124449813,sigmoid,38.0,34.0,41.0,976,19.0,34.0,50.0,48.0,,,,5.0,8.0,77.0,,,,,,,,,,COMPLETE
5,0.5451700600442019,2024-04-12 03:11:41.624917,2024-04-12 03:11:41.805639,0 days 00:00:00.180722,66.37258497671775,,,8.232967370688543,sigmoid,,,,72,,,,32.0,,8.0,50.0,,,,,,,,,,,,,COMPLETE
6,0.33431339289079876,2024-04-12 03:11:41.808629,2024-04-12 03:11:41.978065,0 days 00:00:00.169436,35.693315268176036,64.0,97.0,8.979070781734066,sigmoid,,,,717,49.0,50.0,41.0,43.0,,11.0,34.0,,,,47.0,31.0,,,,,,,91.0,COMPLETE
7,0.5838709677419355,2024-04-12 03:11:41.980134,2024-04-12 03:11:42.340130,0 days 00:00:00.359996,32.48984717273608,,,8.816938963514897,rbf,29.0,3.0,4.0,360,,,,42.0,7.0,12.0,11.0,,,,,,,,,,,,,COMPLETE
8,0.5039514019742948,2024-04-12 03:11:42.342130,2024-04-12 03:11:42.723447,0 days 00:00:00.381317,8.481239084045173,,,5.092957957266595,rbf,39.0,8.0,16.0,382,,,,44.0,5.0,20.0,4.0,6.0,2.0,2.0,43.0,16.0,3.203140216317572,8.42658892245175,9.68697516509124,5.0,20.0,89.0,,COMPLETE
9,0.3543045061269232,2024-04-12 03:11:42.725447,2024-04-12 03:11:42.995615,0 days 00:00:00.270168,91.30200595428876,84.0,34.0,6.122887127656665,sigmoid,,,,737,20.0,4.0,28.0,49.0,6.0,,,,,,,,,,,,,,192.0,COMPLETE
